#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

tb_culture_chicagoan_1;Winged Knight Riding Grounds;;;;;;;;;;;;;x
tb_culture_chicagoan_1;Winged Knight Riding Grounds;;;;;;;;;;;;;x
tb_culture_chicagoan_1;Winged Knight Riding Grounds;;;;;;;;;;;;;x
tb_culture_chicagoan_1;Winged Knight Riding Grounds;;;;;;;;;;;;;x
tb_culture_plautdietsch_1;Peatstachel Riding Grounds;;;;;;;;;;;;;x
tb_culture_plautdietsch_2;Peatstachel Riding Grounds;;;;;;;;;;;;;x
tb_culture_plautdietsch_3;Peatstachel Riding Grounds;;;;;;;;;;;;;x
tb_culture_plautdietsch_4;Peatstachel Riding Grounds;;;;;;;;;;;;;x
tb_culture_riverlander_1;Riverine Barracks;;;;;;;;;;;;;x
tb_culture_riverlander_2;Riverine Barracks;;;;;;;;;;;;;x
tb_culture_riverlander_3;Riverine Barracks;;;;;;;;;;;;;x
tb_culture_riverlander_4;Riverine Barracks;;;;;;;;;;;;;x
tb_culture_malay_1;Pendekar Training Grounds;;;;;;;;;;;;;x
tb_culture_malay_1;Pendekar Training Grounds;;;;;;;;;;;;;x
tb_culture_malay_1;Pendekar Training Grounds;;;;;;;;;;;;;x
tb_culture_malay_1;Pendekar Training Grounds;;;;;;;;;;;;;x
tb_culture_sefari_1;Sefari Training Grounds;;;;;;;;;;;;;x
tb_culture_sefari_2;Sefari Training Grounds;;;;;;;;;;;;;x
tb_culture_sefari_3;Sefari Training Grounds;;;;;;;;;;;;;x
tb_culture_sefari_4;Sefari Training Grounds;;;;;;;;;;;;;x
tb_culture_miskito_1;Aiwawakra Watch Towers;;;;;;;;;;;;;x
tb_culture_miskito_2;Aiwawakra Watch Towers;;;;;;;;;;;;;x
tb_culture_miskito_3;Aiwawakra Watch Towers;;;;;;;;;;;;;x
tb_culture_miskito_4;Aiwawakra Watch Towers;;;;;;;;;;;;;x
tb_culture_venteux_1;Gendarmerie Barracks;;;;;;;;;;;;;x
tb_culture_venteux_2;Gendarmerie Barracks;;;;;;;;;;;;;x
tb_culture_venteux_3;Gendarmerie Barracks;;;;;;;;;;;;;x
tb_culture_venteux_4;Gendarmerie Barracks;;;;;;;;;;;;;x
tb_culture_cubano_1;Azucarero Riding Grounds;;;;;;;;;;;;;x
tb_culture_cubano_2;Azucarero Riding Grounds;;;;;;;;;;;;;x
tb_culture_cubano_3;Azucarero Riding Grounds;;;;;;;;;;;;;x
tb_culture_cubano_4;Azucarero Riding Grounds;;;;;;;;;;;;;x
tb_culture_filipino_1;Maharlika Gathering Grounds;;;;;;;;;;;;;x
tb_culture_filipino_2;Maharlika Gathering Grounds;;;;;;;;;;;;;x
tb_culture_filipino_3;Maharlika Gathering Grounds;;;;;;;;;;;;;x
tb_culture_filipino_4;Maharlika Gathering Grounds;;;;;;;;;;;;;x
tb_culture_andean_1;Andean Mountain Academy;;;;;;;;;;;;;x
tb_culture_andean_2;Andean Mountain Academy;;;;;;;;;;;;;x
tb_culture_andean_3;Andean Mountain Academy;;;;;;;;;;;;;x
tb_culture_andean_4;Andean Mountain Academy;;;;;;;;;;;;;x
tb_culture_mayan_1;Mayan Atlatlist Barracks;;;;;;;;;;;;;x
tb_culture_mayan_1;Mayan Atlatlist Barracks;;;;;;;;;;;;;x
tb_culture_mayan_1;Mayan Atlatlist Barracks;;;;;;;;;;;;;x
tb_culture_mayan_1;Mayan Atlatlist Barracks;;;;;;;;;;;;;x
